,FAMILY,NAME,TITLE,PRIORITY,BASELINE-IMPACT,DESCRIPTION,SUPPLEMENTAL GUIDANCE,RELATED,ccis
0,ACCESS CONTROL,AC-1,ACCESS CONTROL POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH",The organization:,"This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.",PM-9,"CCI-001545 The organization defines a frequency for reviewing and updating the access control policy. CCI-001546 The organization defines a frequency for reviewing and updating the access control procedures. CCI-000001 The organization develops an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance. CCI-000004 The organization develops procedures to facilitate the implementation of the access control policy and associated access controls. CCI-000002 The organization disseminates the access control policy to organization-defined personnel or roles. CCI-000003 The organization reviews and updates the access control policy in accordance with organization-defined frequency. CCI-000005 The organization disseminates the procedures to facilitate access control policy and associated access controls to the organization-defined personnel or roles. CCI-000006 The organization reviews and updates the access control procedures in accordance with organization-defined frequency."
7,ACCESS CONTROL,AC-2,ACCOUNT MANAGEMENT,P1,"LOW,MODERATE,HIGH",The organization:,"Information system account types include, for example, individual, shared, group, system, guest/anonymous, emergency, developer/manufacturer/vendor, temporary, and service. Some of the account management requirements listed above can be implemented by organizational information systems. The identification of authorized users of the information system and the specification of access privileges reflects the requirements in other security controls in the security plan. Users requiring administrative privileges on information system accounts receive additional scrutiny by appropriate organizational personnel (e.g., system owner, mission/business owner, or chief information security officer) responsible for approving such accounts and privileged access. Organizations may choose to define access privileges or other attributes by account, by type of account, or a combination of both. Other attributes required for authorizing access include, for example, restrictions on time-of-day, day-of-week, and point-of-origin. In defining other account attributes, organizations consider system-related requirements (e.g., scheduled maintenance, system upgrades) and mission/business requirements, (e.g., time zone differences, customer requirements, remote access to support travel requirements). Failure to consider these factors could affect information system availability. Temporary and emergency accounts are accounts intended for short-term use. Organizations establish temporary accounts as a part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. Organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. Therefore, emergency account activation may bypass normal account authorization processes. Emergency and temporary accounts are not to be confused with infrequently used accounts (e.g., local logon accounts used for special tasks defined by organizations or when network resources are unavailable). Such accounts remain available and are not subject to automatic disabling or removal dates. Conditions for disabling or deactivating accounts include, for example: (i) when shared/group, emergency, or temporary accounts are no longer required; or (ii) when individuals are transferred or terminated. Some types of information system accounts may require specialized training.","AC-3,AC-4,AC-5,AC-6,AC-10,AC-17,AC-19,AC-20,AU-9,IA-2,IA-4,IA-5,IA-8,CM-5,CM-6,CM-11,MA-3,MA-4,MA-5,PL-4,SC-13","CCI-001547 The organization defines the frequency on which it will review information system accounts for compliance with account management requirements. CCI-000007 The organization manages information system accounts by identifying account types (i.e., individual, group, system, application, guest/anonymous, and temporary). CCI-000008 The organization establishes conditions for group membership. CCI-000009 The organization manages information system accounts by identifying authorized users of the information system and specifying access privileges. CCI-000010 The organization requires approvals by organization-defined personnel or roles for requests to create information system accounts. CCI-000011 The organization creates, enables, modifies, disables, and removes information system accounts in accordance with organization-defined procedures or conditions. CCI-000012 The organization reviews information system accounts for compliance with account management requirements per organization-defined frequency. CCI-000013 The organization manages information system accounts by notifying account managers when temporary accounts are no longer required and when information system users are terminated, transferred, or information system usage or need-to-know/need-to-share changes. CCI-000014 The organization manages information system accounts by granting access to the system based on a valid access authorization; intended system usage; and other attributes as required by the organization or associated missions/business functions. CCI-000237 The organization manages information system accounts by specifically authorizing and monitoring the use of guest/anonymous accounts and temporary accounts. CCI-001354 The organization manages information system accounts by deactivating temporary accounts that are no longer required. CCI-001355 The organization manages information system accounts by deactivating accounts of terminated or transferred users. CCI-002110 The organization defines the information system account types that support the organizational missions/business functions. CCI-002111 The organization identifies and selects the organization-defined information system account types of information system accounts which support organizational missions/business functions. CCI-002112 The organization assigns account managers for information system accounts. CCI-002113 The organization establishes conditions for role membership. CCI-002114 The organization specifies authorized users of the information system for each account. CCI-002115 The organization specifies authorized users of the information system. CCI-002116 The organization specifies authorized group membership on the information system. CCI-002117 The organization specifies authorized role membership on the information system. CCI-002118 The organization specifies access authorizations (i.e., privileges) for each account on the information system. CCI-002119 The organization specifies other attributes for each account on the information system. CCI-002120 The organization defines the personnel or roles authorized to approve the creation of information system accounts. CCI-002121 The organization defines the procedures or conditions to be employed when creating, enabling, modifying, disabling, and removing information system accounts. CCI-002122 The organization monitors the use of information system accounts. CCI-002129 The organization establishes a process for reissuing shared/group account credentials (if deployed) when individuals are removed from the group."
25,ACCESS CONTROL,AC-2 (1),AUTOMATED SYSTEM ACCOUNT MANAGEMENT,,"MODERATE,HIGH",The organization employs automated mechanisms to support the management of information system accounts.,"The use of automated mechanisms can include, for example: using email or text messaging to automatically notify account managers when users are terminated or transferred; using the information system to monitor account usage; and using telephonic notification to report atypical system account usage.",,CCI-000015 The organization employs automated mechanisms to support the information system account management functions.
26,ACCESS CONTROL,AC-2 (2),REMOVAL OF TEMPORARY / EMERGENCY ACCOUNTS,,"MODERATE,HIGH",The information system automatically [Selection: removes; disables] temporary and emergency accounts after [Assignment: organization-defined time period for each type of account].,"This control enhancement requires the removal of both temporary and emergency accounts automatically after a predefined period of time has elapsed, rather than at the convenience of the systems administrator.",,CCI-000016 The information system automatically removes or disables temporary accounts after an organization-defined time period for each type of account. CCI-001361 The organization defines a time period after which temporary accounts are automatically terminated. CCI-001365 The organization defines a time period after which emergency accounts are automatically terminated. CCI-001682 The information system automatically removes or disables emergency accounts after an organization-defined time period for each type of account.
27,ACCESS CONTROL,AC-2 (3),DISABLE INACTIVE ACCOUNTS,,"MODERATE,HIGH",The information system automatically disables inactive accounts after [Assignment: organization-defined time period].,,,CCI-000017 The information system automatically disables inactive accounts after an organization-defined time period. CCI-000217 The organization defines a time period after which inactive accounts are automatically disabled.
28,ACCESS CONTROL,AC-2 (4),AUTOMATED AUDIT ACTIONS,,"MODERATE,HIGH","The information system automatically audits account creation, modification, enabling, disabling, and removal actions, and notifies [Assignment: organization-defined personnel or roles].",,"AU-2,AU-12","CCI-000018 The information system automatically audits account creation actions. CCI-001403 The information system automatically audits account modification actions. CCI-001404 The information system automatically audits account disabling actions. CCI-001405 The information system automatically audits account removal actions. CCI-001683 The information system notifies organization-defined personnel or roles for account creation actions. CCI-001684 The information system notifies organization-defined personnel or roles for account modification actions. CCI-001685 The information system notifies organization-defined personnel or roles for account disabling actions. CCI-001686 The information system notifies organization-defined personnel or roles for account removal actions. CCI-002130 The information system automatically audits account enabling actions. CCI-002131 The organization defines the personnel or roles to be notified on account creation, modification, enabling, disabling, and removal actions. CCI-002132 The information system notifies organization-defined personnel or roles for account enabling actions."
29,ACCESS CONTROL,AC-2 (5),INACTIVITY LOGOUT,,HIGH,The organization requires that users log out when [Assignment: organization-defined time-period of expected inactivity or description of when to log out].,,SC-23,CCI-002133 The organization defines other conditions when users are required to log out.
30,ACCESS CONTROL,AC-2 (6),DYNAMIC PRIVILEGE MANAGEMENT,,,The information system implements the following dynamic privilege management capabilities: [Assignment: organization-defined list of dynamic privilege management capabilities].,"In contrast to conventional access control approaches which employ static information system accounts and predefined sets of user privileges, dynamic access control approaches (e.g., service-oriented architectures) rely on run time access control decisions facilitated by dynamic privilege management. While user identities may remain relatively constant over time, user privileges may change more frequently based on ongoing mission/business requirements and operational needs of organizations. Dynamic privilege management can include, for example, the immediate revocation of privileges from users, as opposed to requiring that users terminate and restart their sessions to reflect any changes in privileges. Dynamic privilege management can also refer to mechanisms that change the privileges of users based on dynamic rules as opposed to editing specific user profiles. This type of privilege management includes, for example, automatic adjustments of privileges if users are operating out of their normal work times, or if information systems are under duress or in emergency maintenance situations. This control enhancement also includes the ancillary effects of privilege changes, for example, the potential changes to encryption keys used for communications. Dynamic privilege management can support requirements for information system resiliency.",AC-16,CCI-000020 The information system dynamically manages user privileges and associated access authorizations. CCI-002134 The organization defines a list of dynamic privilege management capabilities to be implemented by the information system. CCI-002135 The information system implements the organization-defined list of dynamic privilege management capabilities.
31,ACCESS CONTROL,AC-2 (7),ROLE-BASED SCHEMES,,,The organization:,"Privileged roles are organization-defined roles assigned to individuals that allow those individuals to perform certain security-relevant functions that ordinary users are not authorized to perform. These privileged roles include, for example, key management, account management, network and system administration, database administration, and web administration.",,
35,ACCESS CONTROL,AC-2 (8),DYNAMIC ACCOUNT CREATION,,,The information system creates [Assignment: organization-defined information system accounts] dynamically.,"Dynamic approaches for creating information system accounts (e.g., as implemented within service-oriented architectures) rely on establishing accounts (identities) at run time for entities that were previously unknown. Organizations plan for dynamic creation of information system accounts by establishing trust relationships and mechanisms with the appropriate authorities to validate related authorizations and privileges.",AC-16,CCI-002138 The organization defines the information system accounts that can be dynamically created. CCI-002139 The information system creates organization-defined information system accounts dynamically.
