,CCI,/cci_items/cci_item/definition,Note,Parameter,index
0,CCI-001545,The organization defines a frequency for reviewing and updating the access control policy.,,,AC-1 
4,CCI-001546,The organization defines a frequency for reviewing and updating the access control procedures.,,,AC-1 
8,CCI-000001,"The organization develops an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.","The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Access Control Policy Document,AC-1 
12,CCI-000004,The organization develops procedures to facilitate the implementation of the access control policy and associated access controls.,,Access Control Policy Procedures,AC-1 
16,CCI-000002,The organization disseminates the access control policy to organization-defined personnel or roles.,"The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Record of distribution history of access control policy,AC-1 
20,CCI-000003,The organization reviews and updates the access control policy in accordance with organization-defined frequency.,"The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.","Document of Review, Comments, and Changes of access control policy",AC-1 
24,CCI-000005,The organization disseminates the procedures to facilitate access control policy and associated access controls to the organization-defined personnel or roles.,,Record of distribution history of procedures for implementing access control policy,AC-1 
28,CCI-000006,The organization reviews and updates the access control procedures in accordance with organization-defined frequency.,,Document of Changes of procedures for implementing access control policy,AC-1 
32,CCI-000054,The information system limits the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number of sessions.,"The organization may define the maximum number of concurrent sessions for an information system account globally, by account type, by account, or a combination. This control addresses concurrent sessions for a given information system account and does not address concurrent sessions by a single user via multiple system accounts.",,AC-10
36,CCI-000055,The organization defines the maximum number of concurrent sessions to be allowed for each organization-defined account and/or account type.,,,AC-10
40,CCI-000056,The information system retains the session lock until the user reestablishes access using established identification and authentication procedures.,,,AC-11 
44,CCI-000057,The information system initiates a session lock after the organization-defined time period of inactivity.,,,AC-11 
48,CCI-000058,The information system provides the capability for users to directly initiate session lock mechanisms.,,,AC-11 
52,CCI-000059,The organization defines the time period of inactivity after which the information system initiates a session lock.,,,AC-11 
56,CCI-000060,"The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image.",,,AC-11 (1)
60,CCI-000061,The organization identifies and defines organization-defined user actions that can be performed on the information system without identification or authentication consistent with organizational missions/business functions.,,,AC-14 
64,CCI-000062,The organization permits actions to be performed without identification and authentication only to the extent necessary to accomplish mission/business objectives.,,,AC-14 (1)
67,CCI-000232,"The organization documents and provides supporting rationale in the security plan for the information system, user actions not requiring identification and authentication.",,,AC-14 
71,CCI-001559,The organization identifies the individuals authorized to change the value of associated security attributes.,,,AC-16 (2)
75,CCI-001560,The organization identifies individuals (or processes acting on behalf of individuals) authorized to associate organization-defined security attributes with organization-defined objects.,,,AC-16 (4)
79,CCI-001424,The information system dynamically associates security attributes with organization-defined subjects in accordance with organization-defined security policies as information is created and combined.,,,AC-16 (1)
83,CCI-001425,The information system provides authorized individuals (or processes acting on behalf of individuals) the capability to change the value of associated security attributes.,,,AC-16 (2)
87,CCI-001426,The information system maintains the binding of security attributes to information with sufficient assurance that the information--attribute association can be used as the basis for automated policy actions.,,,AC-16 (3)
90,CCI-001427,The information system allows authorized users to associate security attributes with information.,,,AC-16 (4)
93,CCI-001428,"The information system displays security attributes in human-readable form on each object that the system transmits to output devices to identify organization-identified special dissemination, handling, or distribution instructions using organization-identified human-readable, standard naming conventions.",,,AC-16 (5)
97,CCI-001429,"The organization identifies special dissemination, handling, or distribution instructions for identifying security attributes on output.",,,AC-16 (5)
101,CCI-001430,"The organization identifies human-readable, standard naming conventions for identifying security attributes on output.",,,AC-16 (5)
105,CCI-001396,The organization defines security attributes for which the information system supports and maintains the bindings for information in storage.,,,AC-16
108,CCI-001397,The organization defines security attributes for which the information system supports and maintains the bindings for information in process.,,,AC-16
111,CCI-001398,The organization defines security attributes for which the information system supports and maintains the bindings for information in transmission.,,,AC-16
114,CCI-001399,The information system supports and maintains the binding of organization-defined security attributes to information in storage.,,,AC-16
117,CCI-001400,The information system supports and maintains the binding of organization-defined security attributes to information in process.,,,AC-16
120,CCI-001401,The information system supports and maintains the binding of organization-defined security attributes to information in transmission.,,,AC-16
123,CCI-001561,The organization defines managed access control points for remote access to the information system.,,,AC-17 (3)
127,CCI-001562,The organization defines the appropriate action(s) to be taken if an unauthorized remote connection is discovered.,,,AC-17 (5)
130,CCI-000063,The organization defines allowed methods of remote access to the information system.,,,AC-17 
134,CCI-000064,The organization establishes usage restrictions and implementation guidance for each allowed remote access method.,,,AC-17 
137,CCI-000065,The organization authorizes remote access to the information system prior to allowing such connections.,,,AC-17 
141,CCI-000066,The organization enforces requirements for remote connections to the information system.,,,AC-17 
144,CCI-000067,The information system monitors remote access methods.,,,AC-17 (1)
148,CCI-000068,The information system implements cryptographic mechanisms to protect the confidentiality of remote access sessions.,,,AC-17 (2)
152,CCI-000069,The information system routes all remote accesses through an organization-defined number of managed network access control points.,,,AC-17 (3)
156,CCI-000070,The organization authorizes the execution of privileged commands via remote access only for organization-defined needs.,,,AC-17 (4)
160,CCI-000071,The organization monitors for unauthorized remote connections to the information system on an organization-defined frequency.,,,AC-17 (5)
163,CCI-000072,The organization ensures that users protect information about remote access mechanisms from unauthorized use and disclosure.,,,AC-17 (6)
167,CCI-000079,The organization ensures that remote sessions for accessing an organization-defined list of security functions and security-relevant information employ organization-defined additional security measures.,,,AC-17 (7)
